UNQID,TYVAL,TXVAL,COLID,TXDES,MODTY,ISDBL,ISEDT,ISADD,ISEMP,ISSFT,ISMGR,ISDEL,CRTBY,CRTDT,CRTTM,CHNBY,CHNDT,CHNTM,INCTY
368,Country Location,Grenada,87,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
369,Country Location,Guam (US),88,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
370,Country Location,Guatemala,89,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
371,Country Location,Guernsey (UK),90,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
372,Country Location,Guinea,91,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
373,Country Location,Guinea-Bissau,92,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
374,Country Location,Guyana,93,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
375,Country Location,Haiti,94,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
376,Country Location,Heard Island and McDonald Islands (Aus.),95,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
377,Country Location,Honduras,96,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
378,Country Location,"Hong Kong SAR, China",97,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
379,Country Location,Hungary,98,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
380,Country Location,Iceland,99,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
381,Country Location,Indonesia,100,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
382,Country Location,"Iran, Islamic Republic of",101,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
383,Country Location,Iraq,102,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:29,DB_SLS1128,24.03.2025,10:52:51,
384,Country Location,Ireland,103,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
385,Country Location,Isle of Man (UK),104,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
386,Country Location,Israel,105,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
387,Country Location,Italy,106,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
388,Country Location,Jamaica,107,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
389,Country Location,Jersey (UK),108,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
390,Country Location,Jordan,109,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
391,Country Location,Kazakhstan,110,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
392,Country Location,Kenya,111,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
393,Country Location,Kiribati,112,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
394,Country Location,"Korea, Democratic People's Republic of",113,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
395,Country Location,"Korea, Republic of",114,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
396,Country Location,Kosovo,115,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
397,Country Location,Kuwait,116,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
398,Country Location,Kyrgyz Republic,117,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
399,Country Location,Lao People's Democratic Republic,118,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
400,Country Location,Latvia,119,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
401,Country Location,Lebanon,120,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
402,Country Location,Lesotho,121,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
403,Country Location,Liberia,122,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
404,Country Location,Libya,123,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
405,Country Location,Liechtenstein,124,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
406,Country Location,Lithuania,125,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
407,Country Location,Luxembourg,126,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
408,Country Location,"Macau SAR, China",127,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
409,Country Location,Madagascar,128,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
410,Country Location,Malawi,129,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
411,Country Location,Malaysia,130,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
412,Country Location,Maldives,131,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
413,Country Location,Mali,132,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
414,Country Location,Malta,133,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
415,Country Location,Marshall Islands,134,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
416,Country Location,Mauritania,135,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
417,Country Location,Mauritius,136,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
418,Country Location,Mexico,137,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
419,Country Location,"Micronesia, Federated States of",138,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
420,Country Location,Moldova,139,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
421,Country Location,Monaco,140,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
422,Country Location,Mongolia,141,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
423,Country Location,Montenegro,142,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
424,Country Location,Montserrat (UK),143,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
425,Country Location,Morocco,144,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
426,Country Location,Mozambique,145,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
427,Country Location,Myanmar,146,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
428,Country Location,Namibia,147,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
429,Country Location,Nauru,148,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
430,Country Location,Nepal,149,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
431,Country Location,Netherlands,150,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
432,Country Location,New Caledonia (Fr.),151,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
433,Country Location,New Zealand,152,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
434,Country Location,Nicaragua,153,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
435,Country Location,Niger,154,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
436,Country Location,Nigeria,155,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
437,Country Location,Niue (NZ),156,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
438,Country Location,Norfolk Island (Aus.),157,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
439,Country Location,North Macedonia,158,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
440,Country Location,Northern Mariana Islands (US),159,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
441,Country Location,Norway,160,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
442,Country Location,Oman,161,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
443,Country Location,Pakistan,162,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
444,Country Location,Palau,163,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
445,Country Location,Panama,164,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
446,Country Location,Papua New Guinea,165,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
447,Country Location,Paraguay,166,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
448,Country Location,Peru,167,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
449,Country Location,Philippines,168,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
450,Country Location,Pitcairn Islands (UK),169,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
451,Country Location,Poland,170,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
452,Country Location,Portugal,171,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
453,Country Location,Puerto Rico (US),172,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
454,Country Location,Qatar,173,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
455,Country Location,Romania,174,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
456,Country Location,Russian Federation,175,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
457,Country Location,Rwanda,176,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
458,Country Location,"Saint Helena, Ascension and Tristan da Cunha (UK)",177,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
459,Country Location,Saint Kitts and Nevis,178,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
460,Country Location,Saint Lucia,179,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
461,Country Location,Saint Vincent and the Grenadines,180,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
462,Country Location,Saint-Barthélemy (Fr.),181,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
463,Country Location,Saint-Martin (Fr.),182,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
464,Country Location,Saint-Pierre-et-Miquelon (Fr.),183,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
465,Country Location,Samoa,184,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
466,Country Location,San Marino,185,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
467,Country Location,São Tomé and Príncipe,186,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
468,Country Location,Saudi Arabia,187,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
469,Country Location,Senegal,188,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
470,Country Location,Serbia,189,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
471,Country Location,Seychelles,190,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
472,Country Location,Sierra Leone,191,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
473,Country Location,Singapore,192,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
474,Country Location,Sint Maarten (Neth.),193,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
475,Country Location,Slovak Republic,194,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
476,Country Location,Slovenia,195,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
477,Country Location,Solomon Islands,196,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
478,Country Location,Somalia,197,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
479,Country Location,South Africa,198,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
480,Country Location,South Georgia and South Sandwich Islands (UK),199,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
481,Country Location,South Sudan,200,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
482,Country Location,Spain,201,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
483,Country Location,Sri Lanka,202,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
484,Country Location,Sudan,203,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
485,Country Location,Suriname,204,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
486,Country Location,Sweden,205,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
487,Country Location,Switzerland,206,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
488,Country Location,Syrian Arab Republic,207,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
489,Country Location,Tajikistan,208,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
490,Country Location,Tanzania,209,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
491,Country Location,Thailand,210,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
492,Country Location,Timor-Leste,211,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
493,Country Location,Togo,212,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
494,Country Location,Tonga,213,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
495,Country Location,Trinidad and Tobago,214,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
496,Country Location,Tunisia,215,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
497,Country Location,Türkiye,216,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
498,Country Location,Turkmenistan,217,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
499,Country Location,Turks and Caicos Islands (UK),218,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
500,Country Location,U.S. Virgin Islands (US),219,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
501,Country Location,Uganda,220,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
502,Country Location,Ukraine,221,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
503,Country Location,United Arab Emirates,222,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
504,Country Location,United Kingdom,223,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
505,Country Location,Uruguay,224,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
506,Country Location,Uzbekistan,225,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
507,Country Location,Vanuatu,226,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
508,Country Location,Vatican City,227,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
509,Country Location,"Venezuela, Republica Bolivariana de",228,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
510,Country Location,Vietnam,229,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
511,Country Location,Wallis-et-Futuna (Fr.),230,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
512,Country Location,West Bank and Gaza,231,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
513,Country Location,"Yemen, Republic of",232,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
514,Country Location,Zambia,233,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
515,Country Location,Zimbabwe,234,Country Location,Incident,0,1,1,,,,0,DB_SLS1209,16.08.2023,12:45:30,DB_SLS1128,24.03.2025,10:52:51,
516,File Type,Witness Statements,1,File Type,Incident,0,1,1,,,,0,DB_SLS1209,17.08.2023,06:31:57,DB_SLS1128,12.03.2025,11:18:14,
517,File Type,VOIR,2,File Type,Incident,0,1,1,,,,0,DB_SLS1209,17.08.2023,06:31:57,DB_SLS1128,12.03.2025,11:18:14,
518,File Type,First Aid Log,3,File Type,Incident,0,1,1,,,,0,DB_SLS1209,17.08.2023,06:31:57,DB_SLS1128,12.03.2025,11:18:14,
519,Privacy Setting,Manager,1,Privacy Setting,Incident,0,1,1,,,,0,DB_SLS1209,17.08.2023,06:31:57,DB_SLS1128,12.03.2025,11:18:31,
520,Privacy Setting,Director,2,Privacy Setting,Incident,0,1,1,,,,0,DB_SLS1209,17.08.2023,06:31:57,DB_SLS1128,12.03.2025,11:18:31,
521,Privacy Setting,Disability Specialist,3,Privacy Setting,Incident,0,1,1,,,,0,DB_SLS1209,17.08.2023,06:31:57,DB_SLS1128,12.03.2025,11:18:31,
522,Issue Item,Mouse,1,Issue Item,Incident,0,1,1,,,,0,DB_SLS1209,17.08.2023,08:17:51,DB_SLS1128,11.03.2025,12:23:12,
523,Issue Item,Keyboard,2,Issue Item,Incident,0,1,1,,,,0,DB_SLS1209,17.08.2023,08:17:51,DB_SLS1128,11.03.2025,12:23:12,
524,Issue Item,Both of the above,3,Issue Item,Incident,0,1,1,,,,0,DB_SLS1209,17.08.2023,08:17:51,DB_SLS1128,11.03.2025,12:23:12,
525,Issue Item,None of the above,4,Issue Item,Incident,0,1,1,,,,0,DB_SLS1209,17.08.2023,08:17:51,DB_SLS1128,11.03.2025,12:23:12,
526,Type of Mouse,Standard,1,Type of Mouse,Incident,0,1,1,,,,0,DB_SLS1209,17.08.2023,08:17:51,DB_SLS1128,11.03.2025,12:24:34,
527,Type of Mouse,Ergonomic,2,Type of Mouse,Incident,0,1,1,,,,0,DB_SLS1209,17.08.2023,08:17:51,DB_SLS1128,11.03.2025,12:24:34,
528,Type of Keyboard,Standard with Raised keys,1,Type of Keyboard,Incident,0,1,1,,,,0,DB_SLS1209,17.08.2023,08:17:51,DB_SLS1128,11.03.2025,12:24:51,
529,Type of Keyboard,Standard with flush keys,2,Type of Keyboard,Incident,0,1,1,,,,0,DB_SLS1209,17.08.2023,08:17:51,DB_SLS1128,11.03.2025,12:24:51,
530,Type of Keyboard,Ergonomic keyboard,3,Type of Keyboard,Incident,0,1,1,,,,0,DB_SLS1209,17.08.2023,08:17:51,DB_SLS1128,11.03.2025,12:24:51,
531,Workstation Period,Less than 30 days,1,Workstation Period,Incident,0,1,1,,,,0,DB_SLS1209,17.08.2023,08:17:51,DB_SLS1128,11.03.2025,12:21:46,
532,Workstation Period,Less than 6 months,2,Workstation Period,Incident,0,1,1,,,,0,DB_SLS1209,17.08.2023,08:17:51,DB_SLS1128,11.03.2025,12:21:46,
533,Workstation Period,Less than 1 year,3,Workstation Period,Incident,0,1,1,,,,0,DB_SLS1209,17.08.2023,08:17:51,DB_SLS1128,11.03.2025,12:21:46,
534,Workstation Period,1-2 years,4,Workstation Period,Incident,0,1,1,,,,0,DB_SLS1209,17.08.2023,08:17:51,DB_SLS1128,11.03.2025,12:21:46,
535,Workstation Period,Over 2 years,5,Workstation Period,Incident,0,1,1,,,,0,DB_SLS1209,17.08.2023,08:17:51,DB_SLS1128,11.03.2025,12:21:46,
536,Self Assessment,Never,1,Self Assessment,Incident,0,1,1,,,,0,DB_SLS1209,17.08.2023,08:17:51,DB_SLS1128,11.03.2025,12:22:45,
